package,repo
sys-apps/man-db
app-editors/neovim,dynamo
app-shells/fish
dev-vcs/git
app-misc/tmux
sys-process/htop
sys-process/glances
sys-power/powertop
app-emulation/docker
app-misc/task
x11-terms/kitty
x11-wm/awesome,dynamo
x11-misc/xdg-user-dirs-gtk
media-fonts/terminus-font
x11-misc/redshift
x11-misc/picom
x11-misc/unclutter
app-admin/keepassxc
x11-misc/copyq
x11-misc/xsel
x11-misc/rofi
media-gfx/maim
app-i18n/ibus-bamboo,dynamo
